word,POS,signal,biasType,biasValue,derogatory,colloquial,forms,,
могъщ,A,FALSE,,positive,FALSE,FALSE,FALSE,0,0
алголагния,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
кучка,N,FALSE,gender,negative,TRUE,TRUE,FALSE,0,0
снобски,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
отхвърлям,V,TRUE,,negative,FALSE,FALSE,FALSE,0,0.875
невероятен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
негативен стимул,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
сополив,A,FALSE,,,FALSE,FALSE,FALSE,0,0.875
сърдечна недостатъчност,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
скромност,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
невъзможен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
праведност,N,FALSE,,positive,TRUE,FALSE,FALSE,0.75,0.125
неизравнен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
разсърдя,V,FALSE,,,FALSE,FALSE,FALSE,0,0.625
айляк,A,FALSE,,,FALSE,FALSE,TRUE,0,0.625
безлесен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
непоносим,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
враждуващ,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
бандит,N,FALSE,,negative,TRUE,FALSE,FALSE,0,0
едем,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
нерезервиран,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
недървесен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
недъгавост,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
нелеплив,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
холецистектомия,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
нарцисизъм,N,FALSE,,,FALSE,FALSE,FALSE,0.75,0
ненадеждност,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
Централен Къшинг,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.75
полупаразитно растение,N,FALSE,,,FALSE,FALSE,FALSE,0.625,0
тоталитарен,A,FALSE,,negative,TRUE,FALSE,FALSE,0,0
чернодробен рак,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
неумел,A,FALSE,,,FALSE,FALSE,FALSE,0.25,0.75
капрова киселина,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
мигрантка,N,TRUE,race_ethnicity,neutral,FALSE,FALSE,FALSE,0,0
плачещ,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
задоволство,N,FALSE,,,FALSE,FALSE,FALSE,0.625,0.125
тъмен,A,FALSE,appearance,negative,FALSE,FALSE,FALSE,0,0.75
славен,A,FALSE,,positive,FALSE,FALSE,FALSE,0,0
драсканица,N,FALSE,,,FALSE,FALSE,FALSE,0,0.875
питателност,N,FALSE,,,FALSE,FALSE,FALSE,0.875,0
внушителен,A,FALSE,,,FALSE,FALSE,FALSE,0.75,0
импозантен,A,FALSE,,,FALSE,FALSE,FALSE,0.75,0
опровергавам,V,FALSE,,,FALSE,FALSE,FALSE,0,0.875
осъден,A,FALSE,religion,negative,FALSE,FALSE,FALSE,0,0
обиждам,V,FALSE,,negative,TRUE,FALSE,FALSE,0,0
дебелак,N,FALSE,appearance,negative,TRUE,FALSE,TRUE,0,0
ангелски,A,FALSE,religion,positive,FALSE,FALSE,FALSE,0.625,0
лоен,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.75
олимпийски,A,FALSE,,,FALSE,FALSE,FALSE,0.875,0
лицемер,N,FALSE,,negative,TRUE,FALSE,FALSE,0,0
тривиален,A,FALSE,,negative,FALSE,FALSE,FALSE,0,0
немодернизиран,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
падение,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
културен,A,FALSE,,positive,FALSE,FALSE,FALSE,0,0
влюбчив,A,FALSE,,,FALSE,FALSE,FALSE,0.75,0
ярък,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
любезност,N,FALSE,,,FALSE,FALSE,FALSE,0.875,0
баптист,N,TRUE,religion,neutral,FALSE,FALSE,FALSE,0,0
враждебен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
открадвам,V,FALSE,,negative,FALSE,FALSE,FALSE,0,0
различие,N,FALSE,,,FALSE,FALSE,FALSE,0.25,0.625
блажен,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
мукополизахаридоза тип I,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
почтителен,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0.125
унижение,N,FALSE,,,FALSE,FALSE,FALSE,0.625,0.375
злопаметен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.875
спиноцеребрално заболяване,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
недовършен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
крокодилски сълзи,N,FALSE,,,FALSE,FALSE,FALSE,0,0.875
изнурителност,N,FALSE,,,FALSE,FALSE,FALSE,0,0.875
изнурителен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.875
дамски,A,TRUE,gender,neutral,FALSE,FALSE,FALSE,0,0
невралгична болка,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
неосезаем,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
извънпланов,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
увулит,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
безвъзвратен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
просяк,N,FALSE,,negative,FALSE,FALSE,FALSE,0,0
правилен,A,FALSE,,,FALSE,FALSE,FALSE,0.875,0
атипична депресия,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
светост,N,FALSE,religion,positive,TRUE,FALSE,FALSE,0,0
роден,A,TRUE,race_ethnicity,neutral,FALSE,FALSE,FALSE,0,0
дълготърпеливост,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
обезценен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.875
пъшкане,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
злина,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
онеправдавам,V,FALSE,,,FALSE,FALSE,FALSE,0,0.75
венозен синус,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
неразделен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
промискуитетен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
самочувствие,N,FALSE,,positive,FALSE,FALSE,FALSE,0,0
вторичен,A,FALSE,,,FALSE,FALSE,FALSE,0.333,0.667
сексапилен,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
нездравословност,N,FALSE,,,FALSE,FALSE,FALSE,0.444,0.556
аморален,A,FALSE,,negative,TRUE,FALSE,FALSE,0,0
лимитиран,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
увреден,A,TRUE,disability,negative,FALSE,FALSE,FALSE,0,0
еквилибрист,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
благословен,A,FALSE,,,FALSE,FALSE,FALSE,0.875,0
тежко,Adv,FALSE,,,FALSE,FALSE,FALSE,0,0.875
дискриминирам,V,TRUE,,negative,FALSE,FALSE,FALSE,0,0
тършуване,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
различен,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
медицинска сестра,N,TRUE,gender,neutral,FALSE,FALSE,FALSE,0,0
фаталистичен,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.75
непосилност,N,FALSE,,,FALSE,FALSE,FALSE,0,0.875
непривикнал,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
скромен,A,FALSE,,positive,FALSE,FALSE,FALSE,0,0.875
заблуден,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
снизходителен,A,FALSE,,,FALSE,FALSE,FALSE,0.875,0
недемонстративен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
гордост,N,FALSE,,positive,FALSE,FALSE,FALSE,0.625,0.25
изтощим,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
патологичен,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
неизменим,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
непоносимост към лизин,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
нечестност,N,FALSE,,,FALSE,FALSE,FALSE,0.125,0.75
безпомощен,A,TRUE,disability,negative,FALSE,FALSE,FALSE,0,0.75
пъклен,A,FALSE,,,FALSE,FALSE,FALSE,0.25,0.75
натраплив,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
доходен,A,FALSE,,,FALSE,FALSE,FALSE,0.75,0
умело,Adv,FALSE,,,FALSE,FALSE,FALSE,0.625,0
хроничен периодонтит,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
конфабулация,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
уникум,N,FALSE,,,FALSE,FALSE,FALSE,0.75,0
благословено,Adv,FALSE,,,FALSE,FALSE,FALSE,0.625,0
дилетантски,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
очаквателен,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
удобство,N,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
неподходящ,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.875
безгрижие,N,FALSE,,,FALSE,FALSE,FALSE,0.375,0.625
затлъстяване,N,TRUE,appearance,neutral,FALSE,FALSE,FALSE,0,0
проповедник,N,TRUE,religion,neutral,FALSE,FALSE,FALSE,0,0
циклодеструктивна операция,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
Хемодил,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
мелодичен,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
глупост,N,FALSE,,negative,FALSE,FALSE,FALSE,0,0
незасенчен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
хардкор,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0.125
разнообразие,N,FALSE,,,FALSE,FALSE,FALSE,0.625,0.125
зловонна хрема,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.75
основен,A,FALSE,,,FALSE,FALSE,FALSE,0.875,0
болестен,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
епископ,N,TRUE,religion,neutral,FALSE,FALSE,FALSE,0,0
баба,N,TRUE,gender,neutral,FALSE,FALSE,FALSE,0,0
безавариен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
несъмнен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
притеснителен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
неравенство,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
безжичен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
за нещастие,Adv,FALSE,,,FALSE,FALSE,FALSE,0,0.875
неблагодарен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.875
приглушен,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.75
благороден,A,FALSE,,positive,TRUE,FALSE,FALSE,0.625,0
мъртвородено бебе,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
вдъхновяващ,A,FALSE,,,FALSE,FALSE,FALSE,0.75,0.25
нистагъм,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
измъча се,V,FALSE,,,FALSE,FALSE,FALSE,0,0.75
псувам,V,FALSE,,negative,TRUE,TRUE,FALSE,0,0
непоправим,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
енергично,Adv,FALSE,,,FALSE,FALSE,FALSE,0.625,0
детски паралич,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
лептоменингит,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
остеолиза,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
несъвместим,A,FALSE,,,FALSE,FALSE,FALSE,0,0.875
обичам,V,FALSE,,,FALSE,FALSE,FALSE,0.625,0
безгрижен,A,FALSE,,negative,TRUE,FALSE,FALSE,0.625,0
едрозърнест,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
несправедливост,N,FALSE,,negative,FALSE,FALSE,FALSE,0,0
харесвам,V,FALSE,,,FALSE,FALSE,FALSE,0.625,0
феминистка,N,TRUE,gender,neutral,FALSE,FALSE,FALSE,0,0
безогледен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
заболяване на кръвта,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
афективно разстройство,N,TRUE,disability,,FALSE,FALSE,FALSE,0.125,0.625
осъзнавам се,V,FALSE,,,FALSE,FALSE,FALSE,0.75,0.25
раздвоен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
епилептичен припадък,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
справедливост,N,FALSE,,positive,FALSE,FALSE,FALSE,0,0
смразяващ кръвта,A,FALSE,,,FALSE,FALSE,FALSE,0.25,0.625
сътресение,N,FALSE,,,FALSE,FALSE,FALSE,0,0.875
истинен,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0.125
нерегистриран,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
нехристоподобен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
симпатяга,N,FALSE,,,FALSE,FALSE,FALSE,0.75,0
драскулка,N,FALSE,,,FALSE,FALSE,FALSE,0,0.875
неизменен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
нравя се,V,FALSE,,,FALSE,FALSE,FALSE,0.625,0
добра форма,N,FALSE,,,FALSE,FALSE,FALSE,0.625,0
несвяст,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
полидипсия,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
свръхестествен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
негативен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.875
фантазия,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
Болест на Кушинг,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.75
несклонен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
здравомислещ,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
неудоволствие,N,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
безбожност,N,FALSE,,,FALSE,FALSE,FALSE,0.25,0.625
леке,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
хроничен гастрит,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
усилен,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.75
външност,N,TRUE,appearance,neutral,FALSE,FALSE,FALSE,0,0
непометен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
унищожавам,V,FALSE,,negative,TRUE,FALSE,FALSE,0,0
ясен,A,FALSE,,,FALSE,FALSE,FALSE,0.75,0
херпесна екзема на Капоши,N,TRUE,disability,,FALSE,FALSE,FALSE,0.625,0
оголен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
облагородяващ,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
болезнен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.875
запален,A,FALSE,,,FALSE,FALSE,FALSE,0.75,0.125
мършавеляк,N,FALSE,appearance,negative,TRUE,TRUE,FALSE,0,0
фантазьорски,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
подвеждащо,Adv,FALSE,,,FALSE,FALSE,FALSE,0,0.625
симптом на фантомния крайник,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
неприятен,A,FALSE,,negative,FALSE,FALSE,FALSE,0,0.875
сияещ,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
екстремист,N,FALSE,religion,negative,TRUE,FALSE,FALSE,0,0
одинофагия,N,FALSE,,,FALSE,FALSE,FALSE,0.125,0.75
кълна,V,FALSE,,negative,TRUE,FALSE,FALSE,0,0
непротиворечив,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
дикенсовски,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
подчинен,N,FALSE,,negative,FALSE,FALSE,FALSE,0,0.75
травматофобия,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
гигантскоклетъчен артерит,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
диакритичен,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
ограничен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
нервен стомах,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
разточителен,A,FALSE,,,FALSE,FALSE,FALSE,0.75,0
безсърдечие,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
нематериален актив,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
опасение,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
плевралгия,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
луминесценция,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
блефарит,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.875
неотсечен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
търговско качество,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
сензационен,A,FALSE,,,FALSE,FALSE,FALSE,1,0
пастьорелоза,N,TRUE,disability,,FALSE,FALSE,FALSE,0.25,0.625
съдружник,N,FALSE,,positive,FALSE,FALSE,FALSE,0,0
нереден,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
мухлясал,A,FALSE,,,FALSE,FALSE,FALSE,0,0.875
пептична улцерация,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
прикрит,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0.125
аморално,Adv,FALSE,,,FALSE,FALSE,FALSE,0,0.625
лошо,N,FALSE,,,FALSE,FALSE,FALSE,0,0.875
неодобрителен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
мразовит,A,FALSE,,,FALSE,FALSE,FALSE,0,0.875
нелюбезност,N,FALSE,,,FALSE,FALSE,FALSE,0.125,0.875
правоверен,A,TRUE,religion,neutral,FALSE,FALSE,FALSE,0,0
напълно сух,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
демагог,N,FALSE,,negative,TRUE,FALSE,FALSE,0,0
невъплътен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
невеселост,N,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
белег,N,TRUE,appearance,neutral,FALSE,FALSE,FALSE,0,0
ентерит,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
тлъстелин,N,FALSE,appearance,negative,TRUE,TRUE,FALSE,0,0
ентусиазиран,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
сумрачен,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
малнутриция,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
привлека,V,FALSE,,,FALSE,FALSE,FALSE,0.625,0
непристоен,A,FALSE,,,FALSE,FALSE,FALSE,0.75,0
кръвно заболяване,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
притесненост,N,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
трепач,N,FALSE,,,FALSE,FALSE,FALSE,0.625,0
афазик,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
разпалващ,A,FALSE,,,FALSE,FALSE,FALSE,0.75,0.25
недекориран,A,FALSE,,,FALSE,FALSE,FALSE,0.25,0.625
непокорен,A,FALSE,,positive,FALSE,FALSE,FALSE,0,0.75
усърден,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
прост,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
енергичен,A,FALSE,,positive,FALSE,FALSE,FALSE,0.625,0
напразно,Adv,FALSE,,,FALSE,FALSE,FALSE,0.25,0.625
неустойчив,A,FALSE,,,FALSE,FALSE,FALSE,0.25,0.625
непречупен,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
отравяне,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
моден,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
целиакия,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
мъка,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
неоперативен,A,FALSE,,,FALSE,FALSE,FALSE,0.25,0.75
цирей,N,FALSE,,,FALSE,FALSE,FALSE,0,0.875
весело,Adv,FALSE,,,FALSE,FALSE,FALSE,0.625,0
имагинерност,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
искрящ,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0.125
произход,N,TRUE,race_ethnicity,neutral,FALSE,FALSE,FALSE,0,0
немелодичен,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.75
отровен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
измятане,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
неспираем,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
офталмит,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.875
ненадежден,A,FALSE,,negative,FALSE,FALSE,FALSE,0,0.875
хипокалцемия,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.75
победител,N,FALSE,,positive,TRUE,FALSE,FALSE,0,0
ерген,N,TRUE,gender,neutral,FALSE,FALSE,FALSE,0,0
изкълчване,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
зверски,A,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
укротен,A,FALSE,,positive,FALSE,FALSE,FALSE,0,0
ликуващ,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0.25
нетактичен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
циклофрения,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
гъделичкане,N,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
момче,N,TRUE,gender,neutral,FALSE,FALSE,FALSE,0,0
страдащ,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
страдащ,V,FALSE,,,FALSE,FALSE,FALSE,0,0.75
шедьовър,N,FALSE,,,FALSE,FALSE,FALSE,0.625,0
инсомния,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
възпаление на венците,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
молитва,N,TRUE,religion,neutral,FALSE,FALSE,FALSE,0,0
поликистозни бъбреци,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
избавям,V,FALSE,,positive,FALSE,FALSE,FALSE,0,0
неприветливост,N,FALSE,,,FALSE,FALSE,FALSE,0.125,0.75
хленчещ,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
действително,Adv,FALSE,,,FALSE,FALSE,FALSE,0.625,0
вероотстъпник,N,FALSE,religion,negative,FALSE,FALSE,FALSE,0,0
заключителен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
активен,A,FALSE,,positive,FALSE,FALSE,FALSE,0,0
бушуващ,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
неинфектиран,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
нефокусиран,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
миометрит,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
гибелен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
любовен,A,FALSE,,,FALSE,FALSE,FALSE,0.75,0
неударен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
офталмия,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.875
супраинфекция,N,TRUE,disability,,FALSE,FALSE,FALSE,0.25,0.625
хистерия,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
богаташ,N,FALSE,,positive,FALSE,FALSE,TRUE,0,0
разпуснат,A,FALSE,,,FALSE,FALSE,FALSE,0.375,0.625
отвращавам,V,FALSE,,,FALSE,FALSE,FALSE,0,0.75
раздразнен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
избивам,V,FALSE,,negative,TRUE,FALSE,FALSE,0,0
фашист,N,FALSE,,negative,TRUE,FALSE,FALSE,0,0
интерпретируем,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
оздравявам,V,TRUE,disability,positive,FALSE,FALSE,FALSE,0,0
съвършен,A,FALSE,,positive,FALSE,FALSE,FALSE,0.75,0
шеговит,A,FALSE,,,FALSE,FALSE,FALSE,0.875,0
неприятно,Adv,FALSE,,negative,FALSE,FALSE,FALSE,0,0
смърдя,V,FALSE,,,FALSE,FALSE,FALSE,0,0.875
неприемлив,A,FALSE,,,FALSE,FALSE,FALSE,0,0.875
чистосърдечно,Adv,FALSE,,,FALSE,FALSE,FALSE,0.625,0
недатируем,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
